No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
26,Inventory Management,Inventory Detail,Stock Breakdown,Total Stock Card,Total Stock Quantity,Sum of all stock types,INTEGER,Logic,inv_master_stock,"available_stock + reserved_stock + safety_stock",57,Formatted number
27,Inventory Management,Inventory Detail,Stock Breakdown,Total Stock Card,Total Stock Percentage,Percentage of max capacity,VARCHAR(50),Logic,inv_master_stock,"(total_stock / max_capacity) * 100",26% of max,Calculated percentage
28,Inventory Management,Inventory Detail,Stock Breakdown,Total Stock Card,Total Stock Progress Bar,Visual capacity indicator,INT,Logic,inv_master_stock,total_stock,57,Gray color
29,Inventory Management,Inventory Detail,Stock Breakdown,Total Stock Card,Total Stock Tooltip,Hover information,VARCHAR(255),Fixed value,N/A,total_stock_tooltip,"Total stock including safety buffer",Help text
30,Inventory Management,Inventory Detail,Stock Warnings,Alerts,Low Stock Warning,Alert when available below safety,VARCHAR(255),Logic,inv_master_stock,"IF available_stock < safety_stock THEN show",When triggered,Yellow alert box - with AlertTriangle icon
31,Inventory Management,Inventory Detail,Stock Warnings,Alerts,Reserved Stock Warning,Alert when reserved exceeds 50%,VARCHAR(255),Logic,inv_master_stock,"IF reserved_stock > total_stock * 0.5 THEN show",When triggered,Blue info box - with Info icon
32,Inventory Management,Inventory Detail,Stock by Store,Table Header,Stock by Store Title,Location-based stock breakdown,VARCHAR(255),Fixed value,N/A,stock_by_store_title,Stock by Store,Section heading
33,Inventory Management,Inventory Detail,Stock by Store,Table Column,Store Name,Store location name in table,VARCHAR(255),Direct,master_locations,location_name,"Tops Central World, Tops Central Plaza",With MapPin icon
34,Inventory Management,Inventory Detail,Stock by Store,Table Column,Store ID,Store location identifier,VARCHAR(50),Direct,master_locations,location_id,"CFR1819, CFR3841",Monospace font - muted
35,Inventory Management,Inventory Detail,Stock by Store,Table Column,Location Code,Warehouse/location identifier,VARCHAR(50),Direct,inv_master_stock,location_code,"WH-001, ST-001",Badge styling - warehouse code
36,Inventory Management,Inventory Detail,Stock by Store,Table Column,Available,Store-specific available stock,INTEGER,Direct,inv_master_stock,available_stock,42,Right-aligned - green text
37,Inventory Management,Inventory Detail,Stock by Store,Table Column,Reserved,Store-specific reserved stock,INTEGER,Direct,inv_master_stock,reserved_stock,5,Right-aligned - orange text
38,Inventory Management,Inventory Detail,Stock by Store,Table Column,Safety Stock,Store-specific safety threshold,INTEGER,Direct,inv_master_stock,safety_stock,10,Right-aligned - blue text
39,Inventory Management,Inventory Detail,Stock by Store,Table Column,Total,Store-specific total stock,INTEGER,Logic,inv_master_stock,"available + reserved + safety",57,Right-aligned - bold
40,Inventory Management,Inventory Detail,Stock History,Chart,Stock History Chart,30-day historical trend,CHART,Logic,inv_master_stock,historical_data,Line chart,Shows stock level over time
41,Inventory Management,Inventory Detail,Stock History,Chart,Chart Legend,Stock level indicator,VARCHAR(50),Fixed value,N/A,chart_legend,Stock Level,Legend entry with color
42,Inventory Management,Inventory Detail,Stock History,Chart,Min Level Line,Minimum threshold reference,LINE,Fixed value,N/A,min_level_line,Reference line,Shows safety stock threshold
43,Inventory Management,Inventory Detail,Stock History,Chart,Reorder Point Line,Reorder threshold reference,LINE,Fixed value,N/A,reorder_point_line,Reference line,Shows reorder trigger level
44,Inventory Management,Inventory Detail,Recent Transactions,Table Header,Recent Transactions Title,Transaction history section,VARCHAR(255),Fixed value,N/A,recent_transactions_title,Recent Transactions,Section heading
45,Inventory Management,Inventory Detail,Recent Transactions,Table Header,Export CSV Button,Export transaction data,N/A,N/A,N/A,export_csv_button,N/A,Downloads table as CSV
46,Inventory Management,Inventory Detail,Recent Transactions,Table Search,Transaction Search,Search transaction notes/reference,VARCHAR(255),Direct,inv_master_stock,notes,Search notes...,Text input for filtering
47,Inventory Management,Inventory Detail,Recent Transactions,Table Filter,Transaction Type Filter,Filter by transaction type,VARCHAR(50),Fixed value,inv_master_stock,transaction_type,"Stock In, Stock Out, Adjustment, Return, transfer",Dropdown filter
48,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Date & Time,Transaction timestamp,TIMESTAMP,Direct,inv_master_stock,transaction_date,Jan 18 2026 03:52 PM,Formatted locale string
49,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Transaction Type,Type of stock movement,VARCHAR(50),Direct,inv_master_stock,transaction_type,"Adjustment, Stock In, Stock Out, Return, transfer",Badge with icon
50,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Channel,Distribution channel,VARCHAR(50),Direct,inv_master_stock,channel,TOL,Badge styling
51,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Quantity,Stock movement amount,INTEGER,Direct,inv_master_stock,quantity,+9 or -39,Positive/negative number
52,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Balance,Stock balance after transaction,INTEGER,Logic,inv_master_stock,balance_after,197,Running balance
53,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Store Name,Store where transaction occurred,VARCHAR(255),Direct,master_locations,location_name,Tops Central World CFR1819,Formatted with ID
54,Inventory Management,Inventory Detail,Recent Transactions,Table Column,Notes,Transaction details/reference,TEXT,Direct,inv_master_stock,notes,"Amy Wang: System correction, (ORD-4445)",May contain clickable order links
55,Inventory Management,Inventory Detail,Recent Transactions,Recent Trans,Clickable Order References,Order link in transaction notes,LINK,Direct,orders,order_id,"(ORD-4445) → /orders/4445",Formatted as hyperlink
